1,34.70 ft,on 02-01-1936,
2,34.62 ft,on 04-07-1983,
3,33.50 ft,on 01-07-1950,
4,32.08 ft,on 04-14-1955,
5,31.75 ft,on 01-25-1990,
6,31.25 ft,on 01-28-1994,
7,30.85 ft,on 04-14-1974,
8,30.34 ft,on 02-23-2003,
9,30.07 ft,on 03-25-1973,
10,29.95 ft,on 08-31-2012,
11,29.69 ft,on 05-08-1975,
12,29.66 ft,on 08-22-1953,
13,28.91 ft,on 03-11-2016,
14,28.91 ft,on 04-28-1997,
15,28.90 ft,on 10-05-1964,
16,28.80 ft,on 03-28-2009,
17,28.72 ft,on 03-04-2001,
18,28.51 ft,on 12-07-1971,
19,28.05 ft,on 03-28-1980,
20,27.51 ft,on 04-22-1977,
21,26.47 ft,on 03-30-1951,
22,25.40 ft,on 03-29-1961,
23,25.16 ft,on 02-07-2004,
24,24.89 ft,on 01-07-1998,
25,24.84 ft,on 03-01-1987,
26,23.77 ft,on 02-13-1966,
27,23.59 ft,on 02-21-2014,
28,23.06 ft,on 03-04-1948,
29,22.75 ft,on 03-10-2011,
30,22.70 ft,on 02-12-2013,
31,22.60 ft,on 03-16-1956,
32,22.58 ft,on 11-28-1948,
33,22.40 ft,on 10-24-1984,
34,22.35 ft,on 01-20-1947,
35,22.03 ft,on 04-27-1964,
36,21.93 ft,on 09-27-2002,
37,21.79 ft,on 05-09-1978,
38,21.52 ft,on 04-30-1991,
39,21.26 ft,on 03-14-1999,
40,20.76 ft,on 01-21-1993,
41,20.71 ft,on 12-18-1961,
42,20.64 ft,on 02-25-1979,
43,20.63 ft,on 04-25-2021,
44,20.58 ft,on 12-16-1967,
45,20.50 ft,on 09-22-1946,
46,20.49 ft,on 03-24-2022,
47,20.31 ft,on 09-04-2008,
48,19.80 ft,on 03-26-2021,
49,19.77 ft,on 12-11-2004,
50,19.72 ft,on 10-30-1985,
51,19.70 ft,on 12-16-2009,
52,19.67 ft,on 04-15-2021,
53,19.39 ft,on 05-13-2021,
54,19.05 ft,on 01-01-1989,
55,18.61 ft,on 04-04-2017,
56,18.12 ft,on 02-12-2021,
57,17.88 ft,on 02-11-2005,
58,17.72 ft,on 03-31-1976,
59,17.66 ft,on 12-19-1959,
60,17.52 ft,on 02-17-1982,
61,17.52 ft,on 09-17-1971,
62,17.38 ft,on 06-29-1957,
63,17.21 ft,on 02-15-1992,
64,17.03 ft,on 04-03-1988,
65,17.02 ft,on 10-28-2006,
66,17.00 ft,on 11-16-1957,
67,16.83 ft,on 04-11-2021,
68,16.64 ft,on 04-07-2025,
69,16.38 ft,on 05-05-1967,
70,16.20 ft,on 02-06-2020,(P)
71,16.14 ft,on 03-07-1984,
72,16.13 ft,on 10-27-2025,
73,15.91 ft,on 01-04-2019,
74,15.53 ft,on 01-14-2020,(P)
75,15.37 ft,on 01-08-1945,
76,15.21 ft,on 02-05-2010,
77,15.16 ft,on 11-30-2020,(P)
78,15.13 ft,on 08-31-2021,
79,14.96 ft,on 01-20-1963,
80,14.56 ft,on 04-14-1969,
81,14.25 ft,on 11-20-2015,
82,14.01 ft,on 01-27-1996,
83,13.88 ft,on 02-26-2018,
84,13.68 ft,on 01-05-2007,
85,12.99 ft,on 05-24-1959,
86,12.58 ft,on 04-01-1981,
87,12.54 ft,on 03-23-2006,
88,11.22 ft,on 04-14-1952,
89,11.10 ft,on 01-17-1954,
90,10.84 ft,on 03-22-1970,
91,10.13 ft,on 04-04-2000,